year,boys,girls
1997,9.57,3.87
1998,2.20,7.73
1999,10.22,11.54
2000,11.53,3.79
2001,7.06,5.20
2002,11.03,3.63
2003,5.41,2.14
2004,11.35,6.33
2005,11.26,4.19
2006,7.25,8.35
2007,8.54,6.24
2008,15.10,6.93
2009,14.45,6.92
2010,7.92,4.86
2011,10.63,7.69
2012,7.35,6.32
2013,10.06,5.63
2014,12.06,5.63
2015,10.72,3.54
2016,8.02,10.65
2017,13.31,8.52
2018,8.61,8.52
