year,boys,girls
1997,8.57,3.87
1998,8.20,7.73
1999,80.22,11.54
2000,81.53,3.79
2001,8.06,5.20
2002,81.03,3.63
2003,8.41,2.14
2004,81.35,6.33
2005,81.26,4.19
2006,8.25,8.35
2007,8.54,6.24
2008,85.10,6.93
2009,84.45,6.92
2010,8.92,4.86
2011,80.63,7.69
2012,8.35,6.32
2013,80.06,5.63
2014,82.06,5.63
2015,80.72,3.54
2016,8.02,10.65
2017,83.31,8.52
2018,8.61,8.52
